Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Semi_Detached,6,T1,hybrid_bidirectional,best,4094.5,8646.56
Semi_Detached,7,T1,safe_unidirectional,worst,5801.09,6475.05
Semi_Detached,7,T1,safe_unidirectional,best,5691.44,6475.05
Semi_Detached,7,T1,hybrid_bidirectional,worst,4267.76,8898.8
Semi_Detached,7,T1,hybrid_bidirectional,best,4178.27,8901.76
Semi_Detached,8,T1,safe_unidirectional,worst,4791.74,5560.77
Semi_Detached,8,T1,safe_unidirectional,best,4699.55,5560.77
Semi_Detached,8,T1,hybrid_bidirectional,worst,3584.63,7670.02
Semi_Detached,8,T1,hybrid_bidirectional,best,3519.23,7680.13
Semi_Detached,9,T1,safe_unidirectional,worst,4953.92,5638.66
